Update title,Update link,Update type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Clicks,Click through rate (CTR),Likes,Comments,Shares,Follows,Engagement rate,Content Type
"Chief Global Market Strategist Kristina Hooper summarizes Invesco’s Mid-Year Investment Outlook and our expectations for the second half of 2022, including asset class implications and two alternate scenarios. https://inves.co/3NwOub8",https://www.linkedin.com/feed/update/urn:li:activity:6947678085328556032,Organic,,Marquis Chester,06/28/2022,,,All followers,32,,2,0.0625,0,0,0,,0.0625,
Kristina Hooper takes a closer look at the U.S. Federal Reserve’s more aggressive tightening path as well as a new tool announced by the European Central bank to combat market fragmentation. Will these approaches help these central banks achieve their objectives? https://inves.co/3HxZVy6,https://www.linkedin.com/feed/update/urn:li:activity:6943237649302253568,Organic,,Marquis Chester,06/16/2022,,,All followers,44,,1,0.022727273,0,0,0,,0.022727273,
"Asset owners are turning to private credit for yield, income and attractive returns. Read our full Q&A on direct lending: https://inves.co/3NwKRTD",https://www.linkedin.com/feed/update/urn:li:activity:6943188984302878720,Organic,,Xavier Gill,06/16/2022,,,All followers,32,,0,0,0,0,0,,0,
"After Friday’s record U.S. inflation number, markets expect more aggressive tightening from the Fed. And that had an impact on stocks around the world. Kristina Hooper examines the implications and what she's watching ahead. https://inves.co/3N4en21",https://www.linkedin.com/feed/update/urn:li:activity:6942561909627924480,Organic,,Marquis Chester,06/14/2022,,,All followers,61,,0,0,1,0,0,,0.016393442,
"Scott Baskind, Invesco’s Head of Global Private Credit and Chief Investment Officer, and Ron Kantowitz, Invesco’s Managing Director and Head of Private Debt, discuss the role private credit is playing in asset owner portfolios and how the asset class has evolved over the years. Read our full Q&A: https://inves.co/3MsBuCJ",https://www.linkedin.com/feed/update/urn:li:activity:6940309806343733248,Organic,,Xavier Gill,06/08/2022,,,All followers,61,,0,0,0,0,0,,0,
"Scott Baskind, Invesco’s Head of Global Private Credit and Chief Investment Officer, and Ron Kantowitz, Invesco’s Managing Director and Head of Private Debt, discuss the role private credit is playing in asset owner portfolios and how the asset class has evolved over the years. Read our full Q&A: https://inves.co/3MsBuCJ",https://www.linkedin.com/feed/update/urn:li:activity:6940309806343733248,Sponsored,Direct Lending Q&A - Post 1,Xavier Gill,06/08/2022,06/09/2022,06/22/2022,All followers,69900,,216,0.003090129,0,0,0,0,0.003090129,
"Scott Baskind, Invesco’s Head of Global Private Credit and Chief Investment Officer, and Ron Kantowitz, Invesco’s Managing Director and Head of Private Debt, discuss the role private credit is playing in asset owner portfolios and how the asset class has evolved over the years. Read our full Q&A: https://inves.co/3MsBuCJ",https://www.linkedin.com/feed/update/urn:li:activity:6940309806343733248,Total,,Xavier Gill,06/08/2022,,,All followers,69961,,216,0.003087434,0,0,0,0,0.003087434,
"There’s no shortage of negative sentiment about the global economy, but is it really all bad? Kristina Hooper shares her list of what’s bad — and what’s not — in today’s economy. https://inves.co/3Np2GDQ",https://www.linkedin.com/feed/update/urn:li:activity:6940010471806701568,Organic,,Marquis Chester,06/07/2022,,,All followers,37,,0,0,0,0,0,,0,
"Read our latest roundtable discussion for more insights on how smaller pension plans are investing in private markets. https://inves.co/37WBvAR
",https://www.linkedin.com/feed/update/urn:li:activity:6935575304610492416,Organic,,Jessica Huban,05/26/2022,,,All followers,36,,0,0,0,0,0,,0,
"Bear markets can lead to buying opportunities if stocks become oversold, says Kristina Hooper. And she believes we’re seeing this happen now in the technology sector. https://inves.co/3GdKVVr ",https://www.linkedin.com/feed/update/urn:li:activity:6935253766128513027,Organic,,Jessica Huban,05/25/2022,,,All followers,43,,0,0,0,0,0,,0,
