Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Shares (organic),Shares (sponsored),Shares (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
07/07/2021,27,756,783,15,0,3,3,0,0,0,0,0,0,0,0,0,0,0.003968254,0.003831418
07/08/2021,115,705,820,64,1,2,3,1,0,1,0,0,0,0,0,0,0.017391304,0.004255319,0.006097561
07/09/2021,20,690,710,16,0,4,4,0,0,0,0,0,0,0,0,0,0,0.007246377,0.007042254
07/10/2021,14,467,481,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0.004282655,0.004158004
07/11/2021,2,445,447,2,0,2,2,0,1,1,0,0,0,0,0,0,0.5,0.008988764,0.011185682
07/12/2021,20,747,767,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0.005354752,0.005215124
07/13/2021,11,744,755,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0.005376344,0.005298013
07/14/2021,12,729,741,7,0,1,1,0,2,2,0,0,0,0,0,0,0.166666667,0.006858711,0.009446694
07/15/2021,19,749,768,9,2,2,4,0,0,0,0,0,0,0,0,0,0.105263158,0.002670227,0.005208333
07/16/2021,9,728,737,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0.008241758,0.008141113
07/17/2021,5,549,554,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0.003642987,0.003610108
07/18/2021,8,511,519,6,0,4,4,0,2,2,0,0,0,0,0,0,0.25,0.015655577,0.019267823
07/19/2021,16,788,804,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0.003807107,0.003731343
07/20/2021,15,777,792,13,0,4,4,0,0,0,0,0,0,0,0,0,0,0.005148005,0.005050505
07/21/2021,8,861,869,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00116144,0.001150748
07/22/2021,61,736,797,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004076087,0.003764115
07/23/2021,33,743,776,18,0,4,4,0,0,0,0,0,0,0,0,0,0,0.00538358,0.005154639
07/24/2021,10,486,496,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0.004115226,0.004032258
07/25/2021,14,442,456,8,2,4,6,0,0,0,0,0,0,0,0,0,0.142857143,0.009049774,0.013157895
07/26/2021,6,686,692,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0.005830904,0.005780347
07/27/2021,8,791,799,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0.002528445,0.002503129
07/28/2021,17,739,756,11,3,4,7,0,0,0,0,0,0,0,0,0,0.176470588,0.00541272,0.009259259
07/29/2021,67,1156,1223,40,1,14,15,0,0,0,0,0,0,0,0,0,0.014925373,0.012110727,0.012264922
07/30/2021,22,2123,2145,20,0,13,13,0,0,0,0,0,0,0,0,0,0,0.00612341,0.006060606
07/31/2021,15,1792,1807,10,1,9,10,0,0,0,0,0,0,0,0,0,0.066666667,0.005022321,0.005534034
08/01/2021,10,6403,6413,5,0,22,22,0,0,0,0,0,0,0,0,0,0,0.003435889,0.003430532
08/02/2021,15,16468,16483,10,0,34,34,0,0,0,0,0,0,0,0,0,0,0.002125334,0.0021234
08/03/2021,9,21873,21882,8,0,47,47,0,1,1,0,0,0,0,0,0,0.111111111,0.002285923,0.002330683
08/04/2021,8,29314,29322,7,0,77,77,0,0,0,0,0,0,0,0,0,0,0.002729071,0.002728327
08/05/2021,55,30164,30219,36,3,98,101,0,1,1,0,0,0,0,0,0,0.072727273,0.003248906,0.00337536
08/06/2021,12,30253,30265,10,0,86,86,-1,2,1,0,0,0,0,0,0,0.083333333,0.003041021,0.003072856
08/07/2021,15,19496,19511,10,0,73,73,0,1,1,0,0,0,0,0,0,0.066666667,0.004257284,0.004305264
08/08/2021,22,19277,19299,10,0,64,64,0,0,0,0,0,0,0,0,0,0,0.003579395,0.003575315
